연번,시도,년월,전철료(성인 카드),전철료(성인 현금),시내버스료(성인 카드),시내버스료(성인 현금),택시료(중형),도시가스료(가정용 취사 516m_j),도매요금,소매요금,상수도료(20세제곱미터),하수도료(20세제곱미터),쓰레기봉투료(20리터)
1,서울,2026-06-30,1550,1650,1500,1500,4800,11539,10758,780,12680,9600,490
2,부산,2026-06-30,1600,1700,1550,1700,4800,11981,10758,1222,19600,13300,773
3,대구,2026-06-30,1500,1700,1500,1700,4500,12239,10758,1481,14683,9600,622
4,인천,2026-06-30,1550,1650,1470,1570,4800,11614,10758,856,13390,10800,758
5,광주,2026-06-30,1250,1400,1250,1400,4800,11365,10758,607,13800,9400,740
6,대전,2026-06-30,1550,1700,1500,1700,4300,11803,10758,1044,13060,10600,660
7,울산,2026-06-30,,,1500,1600,4500,11774,10758,1016,20050,13000,600
8,세종,2026-06-30,,,1400,1500,4000,12726,10758,1968,14880,23600,540
9,경기,2026-06-30,1550,1650,1650,1700,4800,11673,10758,915,14088,12231,603
10,강원,2026-06-30,,,1291,1433,4600,12618,10758,1859,15155,9540,442
11,충북,2026-06-30,,,1050,1082,4000,12119,10758,1361,15573,9196,430
12,충남,2026-06-30,,,1453,1553,4020,12389,10758,1631,16823,9313,395
13,전북,2026-06-30,,,1150,1200,4700,12108,10758,1350,15387,8112,416
14,전남,2026-06-30,,,980,1014,4818,12412,10758,1654,13361,6228,358
15,경북,2026-06-30,,,1039,1091,4500,12269,10758,1510,14413,6900,372
16,경남,2026-06-30,,,1125,1183,4706,12605,10758,1847,15475,8439,532
17,제주,2026-06-30,,,1150,1200,4300,13964,10758,3206,11570,14400,700
